"Portions and Weights
2017-2018 Food and Nutrient Database for Dietary Studies - At A Glance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",,,,,,,,
Food code,Main food description,Subcode,Subcode description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
91703010,"Caramel, chocolate-flavored roll",1000003,Tootsie Roll,5704,Candy not containing chocolate,7,1 fun/snack size,14.2
91703010,"Caramel, chocolate-flavored roll",1000003,Tootsie Roll,5704,Candy not containing chocolate,8,1 piece,6.5
91703020,"Caramel, flavor other than chocolate",,,5704,Candy not containing chocolate,1,1 piece,10.1
91703020,"Caramel, flavor other than chocolate",,,5704,Candy not containing chocolate,2,Quantity not specified,14
91703020,"Caramel, flavor other than chocolate",,,5704,Candy not containing chocolate,3,1 cubic inch,23
91703020,"Caramel, flavor other than chocolate",1000004,Brach's Royal,5704,Candy not containing chocolate,1,1 piece,9.8
91703020,"Caramel, flavor other than chocolate",1000004,Brach's Royal,5704,Candy not containing chocolate,2,Quantity not specified,14
91703020,"Caramel, flavor other than chocolate",1000006,Caramel Creams,5704,Candy not containing chocolate,1,1 piece,5
91703020,"Caramel, flavor other than chocolate",1000006,Caramel Creams,5704,Candy not containing chocolate,2,1 package (2.125 oz),60
91703020,"Caramel, flavor other than chocolate",1000006,Caramel Creams,5704,Candy not containing chocolate,3,Quantity not specified,14
91703020,"Caramel, flavor other than chocolate",1000007,Sugar Babies,5704,Candy not containing chocolate,1,1 piece,1.5
91703020,"Caramel, flavor other than chocolate",1000007,Sugar Babies,5704,Candy not containing chocolate,2,1 package (1.875 oz),53
91703020,"Caramel, flavor other than chocolate",1000007,Sugar Babies,5704,Candy not containing chocolate,3,1 cup,220
91703020,"Caramel, flavor other than chocolate",1000007,Sugar Babies,5704,Candy not containing chocolate,4,Quantity not specified,14
91703020,"Caramel, flavor other than chocolate",1000008,Sugar Daddy,5704,Candy not containing chocolate,1,"1 sucker, junior size (.4 oz)",10
91703020,"Caramel, flavor other than chocolate",1000008,Sugar Daddy,5704,Candy not containing chocolate,2,1 sucker (2 oz),59
91703020,"Caramel, flavor other than chocolate",1000008,Sugar Daddy,5704,Candy not containing chocolate,3,Quantity not specified,14
91703020,"Caramel, flavor other than chocolate",1000284,Kraft caramels,5704,Candy not containing chocolate,1,1 piece,8.3
91703020,"Caramel, flavor other than chocolate",1000284,Kraft caramels,5704,Candy not containing chocolate,2,Quantity not specified,14
91703020,"Caramel, flavor other than chocolate",1000285,Jersey's,5704,Candy not containing chocolate,1,1 piece,7.7
91703020,"Caramel, flavor other than chocolate",1000285,Jersey's,5704,Candy not containing chocolate,2,Quantity not specified,14
91703020,"Caramel, flavor other than chocolate",1000303,Pearson Caramel Nips,5704,Candy not containing chocolate,1,1 piece,7
91703020,"Caramel, flavor other than chocolate",1000303,Pearson Caramel Nips,5704,Candy not containing chocolate,2,Quantity not specified,14
91703030,"Caramel, with nuts",,,5704,Candy not containing chocolate,1,1 piece,6
91703030,"Caramel, with nuts",,,5704,Candy not containing chocolate,2,Quantity not specified,14
91703040,"Caramel candy, chocolate covered",,,5702,Candy containing chocolate,1,1 piece,9
91703040,"Caramel candy, chocolate covered",,,5702,Candy containing chocolate,2,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000009,Black Cow,5702,Candy containing chocolate,1,1 sucker (1.4 oz),40
91703040,"Caramel candy, chocolate covered",1000009,Black Cow,5702,Candy containing chocolate,2,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000011,Caramello,5702,Candy containing chocolate,1,1 bar (1.2 oz),34
91703040,"Caramel candy, chocolate covered",1000011,Caramello,5702,Candy containing chocolate,2,1 bar (2 oz),57
91703040,"Caramel candy, chocolate covered",1000011,Caramello,5702,Candy containing chocolate,3,1 bar (5 oz),142
91703040,"Caramel candy, chocolate covered",1000011,Caramello,5702,Candy containing chocolate,4,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000012,Chew-Its,5702,Candy containing chocolate,1,1 bar,45
91703040,"Caramel candy, chocolate covered",1000012,Chew-Its,5702,Candy containing chocolate,2,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000013,Marathon Bar,5702,Candy containing chocolate,1,1 bar (1.38 oz),39
91703040,"Caramel candy, chocolate covered",1000013,Marathon Bar,5702,Candy containing chocolate,2,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000014,Milk Duds,5702,Candy containing chocolate,1,1 box (1.25 oz),35
91703040,"Caramel candy, chocolate covered",1000014,Milk Duds,5702,Candy containing chocolate,2,1 cup,101
91703040,"Caramel candy, chocolate covered",1000014,Milk Duds,5702,Candy containing chocolate,3,1 piece,3
91703040,"Caramel candy, chocolate covered",1000014,Milk Duds,5702,Candy containing chocolate,4,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000015,Pom Poms,5702,Candy containing chocolate,1,1 piece,3
91703040,"Caramel candy, chocolate covered",1000015,Pom Poms,5702,Candy containing chocolate,2,1 box (1.2 oz),34
91703040,"Caramel candy, chocolate covered",1000015,Pom Poms,5702,Candy containing chocolate,3,1 cup,101
91703040,"Caramel candy, chocolate covered",1000015,Pom Poms,5702,Candy containing chocolate,4,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000016,Sugar Momma,5702,Candy containing chocolate,1,1 sucker (.8 oz),23
91703040,"Caramel candy, chocolate covered",1000016,Sugar Momma,5702,Candy containing chocolate,2,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000295,Riesen Chocolate Chew,5702,Candy containing chocolate,1,1 piece,6.4
91703040,"Caramel candy, chocolate covered",1000295,Riesen Chocolate Chew,5702,Candy containing chocolate,2,1 package,45
91703040,"Caramel candy, chocolate covered",1000295,Riesen Chocolate Chew,5702,Candy containing chocolate,3,Quantity not specified,21
91703040,"Caramel candy, chocolate covered",1000299,Russell Stover Caramel Heart,5702,Candy containing chocolate,1,1 piece,32
91703040,"Caramel candy, chocolate covered",1000299,Russell Stover Caramel Heart,5702,Candy containing chocolate,2,Quantity not specified,21
91703050,"Caramel with nuts and cereal, chocolate covered",,,5702,Candy containing chocolate,1,1 oz,28.35
91703050,"Caramel with nuts and cereal, chocolate covered",,,5702,Candy containing chocolate,2,Quantity not specified,21
91703060,"Caramel with nuts, chocolate covered",,,5702,Candy containing chocolate,1,1 piece,14
91703060,"Caramel with nuts, chocolate covered",,,5702,Candy containing chocolate,2,Quantity not specified,21
91703060,"Caramel with nuts, chocolate covered",1000018,Goo Goo Cluster(s),5702,Candy containing chocolate,2,Quantity not specified,21
91703060,"Caramel with nuts, chocolate covered",1000018,Goo Goo Cluster(s),5702,Candy containing chocolate,3,1 piece,50
91703060,"Caramel with nuts, chocolate covered",1000018,Goo Goo Cluster(s),5702,Candy containing chocolate,4,1 miniature,20
91703060,"Caramel with nuts, chocolate covered",1000019,Peanut Chews,5702,Candy containing chocolate,1,1 bar (2 oz),56
91703060,"Caramel with nuts, chocolate covered",1000019,Peanut Chews,5702,Candy containing chocolate,2,Quantity not specified,21
91703060,"Caramel with nuts, chocolate covered",1000019,Peanut Chews,5702,Candy containing chocolate,3,1 bite size,12.3
91703060,"Caramel with nuts, chocolate covered",1000020,Toffifay,5702,Candy containing chocolate,1,1 bar (1.16 oz),33
91703060,"Caramel with nuts, chocolate covered",1000020,Toffifay,5702,Candy containing chocolate,2,Quantity not specified,21
91703060,"Caramel with nuts, chocolate covered",1000021,Turtles,5702,Candy containing chocolate,1,1 turtle,19
91703060,"Caramel with nuts, chocolate covered",1000021,Turtles,5702,Candy containing chocolate,2,Quantity not specified,21
91703060,"Caramel with nuts, chocolate covered",1000281,Reese's NutRageous,5702,Candy containing chocolate,1,1 fun size bar,17
91703060,"Caramel with nuts, chocolate covered",1000281,Reese's NutRageous,5702,Candy containing chocolate,2,1 bar (1.6 oz),45
91703060,"Caramel with nuts, chocolate covered",1000281,Reese's NutRageous,5702,Candy containing chocolate,3,Quantity not specified,21
91703070,Rolo,,,5702,Candy containing chocolate,1,1 piece,6
91703070,Rolo,,,5702,Candy containing chocolate,3,Quantity not specified,21
91703070,Rolo,,,5702,Candy containing chocolate,5,1 package,48
91703080,"Caramel, all flavors, sugar free",,,5704,Candy not containing chocolate,1,1 piece,7
91703080,"Caramel, all flavors, sugar free",,,5704,Candy not containing chocolate,2,Quantity not specified,14
91703150,"Toblerone, milk chocolate with honey and almond nougat",,,5702,Candy containing chocolate,1,1 piece,8.3
91703150,"Toblerone, milk chocolate with honey and almond nougat",,,5702,Candy containing chocolate,2,1 package (3.52 oz),100
91703150,"Toblerone, milk chocolate with honey and almond nougat",,,5702,Candy containing chocolate,3,Quantity not specified,21
91703200,TWIX Caramel Cookie Bars,,,5702,Candy containing chocolate,2,1 miniature/bite size,10
91703200,TWIX Caramel Cookie Bars,,,5702,Candy containing chocolate,3,1 fun size bar,16
91703200,TWIX Caramel Cookie Bars,,,5702,Candy containing chocolate,4,"1 package (2.06 oz, 2 bars)",58
91703200,TWIX Caramel Cookie Bars,,,5702,Candy containing chocolate,5,"1 king size package (3.35 oz, 4 bars)",95
91703200,TWIX Caramel Cookie Bars,,,5702,Candy containing chocolate,6,Quantity not specified,21
91703250,TWIX Chocolate Fudge Cookie Bars,,,5702,Candy containing chocolate,1,1 package TWIX Chocolate Fudge Cookie Bars (1.57 oz),45
91703250,TWIX Chocolate Fudge Cookie Bars,,,5702,Candy containing chocolate,2,1 package TWIX Cookies-n-Creme Bars (1.57 oz),45
91703250,TWIX Chocolate Fudge Cookie Bars,,,5702,Candy containing chocolate,3,Quantity not specified,21
91703300,TWIX Peanut Butter Cookie Bars,,,5702,Candy containing chocolate,1,"1 package (1.89 oz, 2 bars)",54
91703300,TWIX Peanut Butter Cookie Bars,,,5702,Candy containing chocolate,2,"1 package (2.06 oz, 2 bars)",58
91703300,TWIX Peanut Butter Cookie Bars,,,5702,Candy containing chocolate,3,Quantity not specified,21
91703400,Whatchamacallit,,,5702,Candy containing chocolate,2,Quantity not specified,21
91703400,Whatchamacallit,,,5702,Candy containing chocolate,3,1 bar,48
91703500,"Nuts, carob-coated",,,5704,Candy not containing chocolate,1,1 oz,28.35
91703500,"Nuts, carob-coated",,,5704,Candy not containing chocolate,2,1 cup,170
91703500,"Nuts, carob-coated",,,5704,Candy not containing chocolate,3,Quantity not specified,14
91703600,"Espresso coffee beans, chocolate-covered",,,5702,Candy containing chocolate,1,10 beans,16.8
91703600,"Espresso coffee beans, chocolate-covered",,,5702,Candy containing chocolate,2,1 package (4 oz),113
91703600,"Espresso coffee beans, chocolate-covered",,,5702,Candy containing chocolate,3,1 cup,160
91703600,"Espresso coffee beans, chocolate-covered",,,5702,Candy containing chocolate,4,Quantity not specified,21
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,1,1 piece,8
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,2,1 miniature/bite size,8
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,3,1 fun size bar,11
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,4,1 bar,44
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,5,1 king size,73
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,6,1 ball,5.4
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,7,"1 cup, morsels",168
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,8,1 cubic inch,18
91705010,"Milk chocolate candy, plain",,,5702,Candy containing chocolate,9,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000023,Chocolate coins,5702,Candy containing chocolate,1,1 piece,5
91705010,"Milk chocolate candy, plain",1000023,Chocolate coins,5702,Candy containing chocolate,2,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000024,"Easter Egg, NFS",5702,Candy containing chocolate,1,1 egg (1 oz),28
91705010,"Milk chocolate candy, plain",1000024,"Easter Egg, NFS",5702,Candy containing chocolate,2,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000024,"Easter Egg, NFS",5702,Candy containing chocolate,3,"1 egg, NS as to size",5.5
91705010,"Milk chocolate candy, plain",1000025,"Easter Egg, milk chocolate",5702,Candy containing chocolate,1,"1 egg, NS as to size",5.5
91705010,"Milk chocolate candy, plain",1000025,"Easter Egg, milk chocolate",5702,Candy containing chocolate,2,"1 egg, solid (1"" x 1/2"")",5.5
91705010,"Milk chocolate candy, plain",1000025,"Easter Egg, milk chocolate",5702,Candy containing chocolate,3,"1 egg, hollow (2"" x 1"")",14
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,1,1 piece,9
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,2,1 miniature/bite size,8
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,3,1 fun size bar,11
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,4,1 bar (1.55 oz),44
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,5,1 Big Block bar (2.2 oz),62
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,6,1 king size,73
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,7,"1 large bar (21 squares, 4 oz)",113
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,8,1 cubic inch,18
91705010,"Milk chocolate candy, plain",1000026,Hershey Bar,5702,Candy containing chocolate,9,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000027,Hershey Kiss or Star,5702,Candy containing chocolate,1,1 kiss,5
91705010,"Milk chocolate candy, plain",1000027,Hershey Kiss or Star,5702,Candy containing chocolate,2,"1 bag (37 pieces, 6 oz)",170
91705010,"Milk chocolate candy, plain",1000027,Hershey Kiss or Star,5702,Candy containing chocolate,3,1 cup,158
91705010,"Milk chocolate candy, plain",1000027,Hershey Kiss or Star,5702,Candy containing chocolate,4,1 large,198
91705010,"Milk chocolate candy, plain",1000027,Hershey Kiss or Star,5702,Candy containing chocolate,5,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000028,Hershey Symphony Bar,5702,Candy containing chocolate,1,1 bar (1.4 oz),40
91705010,"Milk chocolate candy, plain",1000028,Hershey Symphony Bar,5702,Candy containing chocolate,2,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000028,Hershey Symphony Bar,5702,Candy containing chocolate,3,1 piece,9
91705010,"Milk chocolate candy, plain",1000028,Hershey Symphony Bar,5702,Candy containing chocolate,4,1 king size bar,142
91705010,"Milk chocolate candy, plain",1000029,Nestle Bar,5702,Candy containing chocolate,1,1 bar (1.125 oz),32
91705010,"Milk chocolate candy, plain",1000029,Nestle Bar,5702,Candy containing chocolate,2,1 bar (1.45 oz),41
91705010,"Milk chocolate candy, plain",1000029,Nestle Bar,5702,Candy containing chocolate,3,1 Big Block bar (2.2 oz),62
91705010,"Milk chocolate candy, plain",1000029,Nestle Bar,5702,Candy containing chocolate,4,"1 large bar (28 squares, 6 oz)",170
91705010,"Milk chocolate candy, plain",1000029,Nestle Bar,5702,Candy containing chocolate,5,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000273,Hershey's Hugs,5702,Candy containing chocolate,1,1 piece,4.8
91705010,"Milk chocolate candy, plain",1000273,Hershey's Hugs,5702,Candy containing chocolate,2,1 cup,162
91705010,"Milk chocolate candy, plain",1000273,Hershey's Hugs,5702,Candy containing chocolate,3,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000290,Hershey's Nuggets,5702,Candy containing chocolate,1,1 piece,9.8
91705010,"Milk chocolate candy, plain",1000290,Hershey's Nuggets,5702,Candy containing chocolate,2,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000291,Easter bunnies,5702,Candy containing chocolate,1,"1 small hollow (4"" or less)",42
91705010,"Milk chocolate candy, plain",1000291,Easter bunnies,5702,Candy containing chocolate,2,"1 medium hollow (4-1/2"" to 7"")",132
91705010,"Milk chocolate candy, plain",1000291,Easter bunnies,5702,Candy containing chocolate,3,"1 large hollow (7-1/2"" to 11"")",193
91705010,"Milk chocolate candy, plain",1000291,Easter bunnies,5702,Candy containing chocolate,4,"1 small solid (2-1/2"" or less)",8.3
91705010,"Milk chocolate candy, plain",1000291,Easter bunnies,5702,Candy containing chocolate,5,"1 medium solid (3"" to 5-1/2"")",67
91705010,"Milk chocolate candy, plain",1000291,Easter bunnies,5702,Candy containing chocolate,6,"1 large solid (6"" to 8"")",200
91705010,"Milk chocolate candy, plain",1000291,Easter bunnies,5702,Candy containing chocolate,7,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000300,chocolate rose,5702,Candy containing chocolate,1,1 piece,16
91705010,"Milk chocolate candy, plain",1000300,chocolate rose,5702,Candy containing chocolate,2,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000301,Dove Milk Chocolate bar,5702,Candy containing chocolate,1,1 bar,37
91705010,"Milk chocolate candy, plain",1000301,Dove Milk Chocolate bar,5702,Candy containing chocolate,2,"1 large bar (21 squares, 6 oz)",170
91705010,"Milk chocolate candy, plain",1000301,Dove Milk Chocolate bar,5702,Candy containing chocolate,3,1 piece,8
91705010,"Milk chocolate candy, plain",1000301,Dove Milk Chocolate bar,5702,Candy containing chocolate,4,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000310,Cadbury Dairy Milk,5702,Candy containing chocolate,1,1 bar (5 oz),142
91705010,"Milk chocolate candy, plain",1000310,Cadbury Dairy Milk,5702,Candy containing chocolate,2,1 piece,4.4
91705010,"Milk chocolate candy, plain",1000310,Cadbury Dairy Milk,5702,Candy containing chocolate,3,Quantity not specified,21
91705010,"Milk chocolate candy, plain",1000320,Dove Promises,5702,Candy containing chocolate,1,1 piece,8
91705010,"Milk chocolate candy, plain",1000320,Dove Promises,5702,Candy containing chocolate,2,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",,,5702,Candy containing chocolate,1,1 piece,34
91705020,"Milk chocolate candy, with cereal",,,5702,Candy containing chocolate,2,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",1000031,Krackel Bar,5702,Candy containing chocolate,1,1 miniature/bite size,8
91705020,"Milk chocolate candy, with cereal",1000031,Krackel Bar,5702,Candy containing chocolate,2,1 bar (1.2 oz),34
91705020,"Milk chocolate candy, with cereal",1000031,Krackel Bar,5702,Candy containing chocolate,3,1 bar (1.45 oz),41
91705020,"Milk chocolate candy, with cereal",1000031,Krackel Bar,5702,Candy containing chocolate,4,"1 large bar (21 squares, 4 oz)",113
91705020,"Milk chocolate candy, with cereal",1000031,Krackel Bar,5702,Candy containing chocolate,5,"1 extra large bar (32 squares, 8 oz)",227
91705020,"Milk chocolate candy, with cereal",1000031,Krackel Bar,5702,Candy containing chocolate,6,1 Big Block bar (2.2 oz),62
91705020,"Milk chocolate candy, with cereal",1000031,Krackel Bar,5702,Candy containing chocolate,7,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",1000032,Malted Milk Balls,5702,Candy containing chocolate,2,1 cup,92
91705020,"Milk chocolate candy, with cereal",1000032,Malted Milk Balls,5702,Candy containing chocolate,3,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",1000032,Malted Milk Balls,5702,Candy containing chocolate,4,1 ball,2.9
91705020,"Milk chocolate candy, with cereal",1000033,Nestle Crunch,5702,Candy containing chocolate,1,1 miniature/bite size,11
91705020,"Milk chocolate candy, with cereal",1000033,Nestle Crunch,5702,Candy containing chocolate,2,1 fun/snack size,14.2
91705020,"Milk chocolate candy, with cereal",1000033,Nestle Crunch,5702,Candy containing chocolate,3,1 bar (1.313 oz),37
91705020,"Milk chocolate candy, with cereal",1000033,Nestle Crunch,5702,Candy containing chocolate,4,1 Big Block bar (2.2 oz),62
91705020,"Milk chocolate candy, with cereal",1000033,Nestle Crunch,5702,Candy containing chocolate,5,"1 large bar (28 squares, 6 oz)",170
91705020,"Milk chocolate candy, with cereal",1000033,Nestle Crunch,5702,Candy containing chocolate,6,1 egg,6.7
91705020,"Milk chocolate candy, with cereal",1000033,Nestle Crunch,5702,Candy containing chocolate,7,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",1000034,Whoppers,5702,Candy containing chocolate,1,1 pack (2 oz),57
91705020,"Milk chocolate candy, with cereal",1000034,Whoppers,5702,Candy containing chocolate,2,10 balls,29
91705020,"Milk chocolate candy, with cereal",1000034,Whoppers,5702,Candy containing chocolate,3,1 fun/snack size,13
91705020,"Milk chocolate candy, with cereal",1000034,Whoppers,5702,Candy containing chocolate,4,1 cup,92
91705020,"Milk chocolate candy, with cereal",1000034,Whoppers,5702,Candy containing chocolate,5,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",1000275,Hershey's Cookies 'n' Mint,5702,Candy containing chocolate,1,1 bar (1.55 oz),44
91705020,"Milk chocolate candy, with cereal",1000275,Hershey's Cookies 'n' Mint,5702,Candy containing chocolate,2,1 large bar (7 oz),198
91705020,"Milk chocolate candy, with cereal",1000275,Hershey's Cookies 'n' Mint,5702,Candy containing chocolate,3,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",1000292,Hershey's Cookies 'n' Mint Nuggets,5702,Candy containing chocolate,1,1 piece,9.8
91705020,"Milk chocolate candy, with cereal",1000292,Hershey's Cookies 'n' Mint Nuggets,5702,Candy containing chocolate,2,Quantity not specified,21
91705020,"Milk chocolate candy, with cereal",1000316,Malted Milk Eggs,5702,Candy containing chocolate,1,1 egg,7
91705020,"Milk chocolate candy, with cereal",1000316,Malted Milk Eggs,5702,Candy containing chocolate,2,1 cup,113
91705020,"Milk chocolate candy, with cereal",1000316,Malted Milk Eggs,5702,Candy containing chocolate,3,Quantity not specified,21
91705030,Kit Kat,,,5702,Candy containing chocolate,1,1 bar (1.5 oz),43
91705030,Kit Kat,,,5702,Candy containing chocolate,2,1 miniature bar (.35 oz),10
91705030,Kit Kat,,,5702,Candy containing chocolate,3,1 Kit Kat Bite,2.6
91705030,Kit Kat,,,5702,Candy containing chocolate,4,1 fun/snack size,15
91705030,Kit Kat,,,5702,Candy containing chocolate,5,1 king size,79
91705030,Kit Kat,,,5702,Candy containing chocolate,6,"1 cup, Bites",141
91705030,Kit Kat,,,5702,Candy containing chocolate,7,Quantity not specified,21
91705040,"Chocolate, milk, with nuts, not almond or peanuts",,,5702,Candy containing chocolate,1,1 piece,11
91705040,"Chocolate, milk, with nuts, not almond or peanuts",,,5702,Candy containing chocolate,2,1 bar,33
91705040,"Chocolate, milk, with nuts, not almond or peanuts",,,5702,Candy containing chocolate,3,Quantity not specified,21
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000038,Brach's Bridge Mix,5702,Candy containing chocolate,1,1 piece,3
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000038,Brach's Bridge Mix,5702,Candy containing chocolate,2,1 cup,186
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000038,Brach's Bridge Mix,5702,Candy containing chocolate,3,Quantity not specified,21
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000039,Chunky with pecans,5702,Candy containing chocolate,1,1 individually wrapped piece (1.15 oz),33
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000039,Chunky with pecans,5702,Candy containing chocolate,2,"1 large bar (24 squares, 6 oz)",170
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000039,Chunky with pecans,5702,Candy containing chocolate,3,Quantity not specified,21
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000040,Hazelnut with chocolate (Cadbury),5702,Candy containing chocolate,1,1 bar (2 oz),57
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000040,Hazelnut with chocolate (Cadbury),5702,Candy containing chocolate,2,Quantity not specified,21
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000324,Ferrero Rocher Hazelnut Chocolate,5702,Candy containing chocolate,1,1 piece,13
91705040,"Chocolate, milk, with nuts, not almond or peanuts",1000324,Ferrero Rocher Hazelnut Chocolate,5702,Candy containing chocolate,2,Quantity not specified,21
91705050,"Milk chocolate candy, with fruit and nuts",,,5702,Candy containing chocolate,1,1 piece,11
91705050,"Milk chocolate candy, with fruit and nuts",,,5702,Candy containing chocolate,2,1 bar,33
91705050,"Milk chocolate candy, with fruit and nuts",,,5702,Candy containing chocolate,3,Quantity not specified,21
91705050,"Milk chocolate candy, with fruit and nuts",1000042,Chunky with fruit and nuts,5702,Candy containing chocolate,1,1 individually wrapped piece (1.15 oz),33
91705050,"Milk chocolate candy, with fruit and nuts",1000042,Chunky with fruit and nuts,5702,Candy containing chocolate,2,"1 large bar (24 squares, 6 oz)",170
91705050,"Milk chocolate candy, with fruit and nuts",1000042,Chunky with fruit and nuts,5702,Candy containing chocolate,3,Quantity not specified,21
91705050,"Milk chocolate candy, with fruit and nuts",1000043,Fruit and Nut Bar (Cadbury),5702,Candy containing chocolate,2,Quantity not specified,21
91705050,"Milk chocolate candy, with fruit and nuts",1000043,Fruit and Nut Bar (Cadbury),5702,Candy containing chocolate,3,1 bar (5 oz),142
91705050,"Milk chocolate candy, with fruit and nuts",1000043,Fruit and Nut Bar (Cadbury),5702,Candy containing chocolate,4,1 square,4.4
91705050,"Milk chocolate candy, with fruit and nuts",1000304,"Chunky, NFS",5702,Candy containing chocolate,1,1 individually wrapped piece (1.15 oz),33
91705050,"Milk chocolate candy, with fruit and nuts",1000304,"Chunky, NFS",5702,Candy containing chocolate,2,"1 large bar (24 squares, 6 oz)",170
91705050,"Milk chocolate candy, with fruit and nuts",1000304,"Chunky, NFS",5702,Candy containing chocolate,3,Quantity not specified,21
91705050,"Milk chocolate candy, with fruit and nuts",1000305,Chunky Original,5702,Candy containing chocolate,1,1 individually wrapped piece (1.15 oz),33
91705050,"Milk chocolate candy, with fruit and nuts",1000305,Chunky Original,5702,Candy containing chocolate,2,"1 large bar (24 squares, 6 oz)",170
91705050,"Milk chocolate candy, with fruit and nuts",1000305,Chunky Original,5702,Candy containing chocolate,3,Quantity not specified,21
91705060,"Milk chocolate candy, with almonds",,,5702,Candy containing chocolate,1,1 piece,11
91705060,"Milk chocolate candy, with almonds",,,5702,Candy containing chocolate,2,1 bar,41
91705060,"Milk chocolate candy, with almonds",,,5702,Candy containing chocolate,3,Quantity not specified,21
91705060,"Milk chocolate candy, with almonds",1000045,Hershey with Almonds,5702,Candy containing chocolate,1,1 bar (1.45 oz),41
91705060,"Milk chocolate candy, with almonds",1000045,Hershey with Almonds,5702,Candy containing chocolate,2,1 piece,4.7
91705060,"Milk chocolate candy, with almonds",1000045,Hershey with Almonds,5702,Candy containing chocolate,4,"1 large bar (21 squares, 4 oz)",113
91705060,"Milk chocolate candy, with almonds",1000045,Hershey with Almonds,5702,Candy containing chocolate,5,"1 extra large bar (32 squares, 8 oz)",227
91705060,"Milk chocolate candy, with almonds",1000045,Hershey with Almonds,5702,Candy containing chocolate,6,1 Big Block bar (2.2 oz),62
91705060,"Milk chocolate candy, with almonds",1000045,Hershey with Almonds,5702,Candy containing chocolate,7,Quantity not specified,21
91705060,"Milk chocolate candy, with almonds",1000045,Hershey with Almonds,5702,Candy containing chocolate,8,1 miniature/bite size,14
91705060,"Milk chocolate candy, with almonds",1000046,Nestle chocolate bar with almonds,5702,Candy containing chocolate,1,1 bar (1.45 oz),41
91705060,"Milk chocolate candy, with almonds",1000046,Nestle chocolate bar with almonds,5702,Candy containing chocolate,2,"1 large bar (28 squares, 6 oz)",170
91705060,"Milk chocolate candy, with almonds",1000046,Nestle chocolate bar with almonds,5702,Candy containing chocolate,3,Quantity not specified,21
91705060,"Milk chocolate candy, with almonds",1000267,Hershey Kisses with Almonds,5702,Candy containing chocolate,2,1 bag (9 oz),255
